Species,Covariate,Model_Type,DIC,Bayes_P,C_Hat,modname,correlation_GAM,nrmse_GAM,LOOIC,LOOIC_lower,LOOIC_upper,cov_name
Sus scrofa,Avg_human_footprint_3km,GAM,12018.43039710437,0.80875,1.0033490734753625,Sus_scrofa_Avg_human_footprint_3km_GAM_2024-12-31_JMS,NA,NA,15213.507364201068,14793.153250888763,15633.861477513374,Human Footprint
Sus scrofa,Avg_human_footprint_3km,Linear,53983.66329490486,0.6595,0.9264030609392873,Sus_scrofa_Avg_human_footprint_3km_Linear_2024-12-31_JMS,0.9227643086478956,23.7,20040.71042620726,19233.76948398246,20847.65136843206,Human Footprint
Sus scrofa,Avg_human_footprint_3km,Quadratic,11131.415083255988,0.863875,1.0039763413709846,Sus_scrofa_Avg_human_footprint_3km_Quadratic_2024-12-31_JMS,0.6487078100381254,136.1,15264.106951184249,14853.343549837648,15674.87035253085,Human Footprint
Sus scrofa,Avg_human_footprint_3km,Cubic,10504.77498742003,0.834625,1.0036575873708768,Sus_scrofa_Avg_human_footprint_3km_Cubic_2024-12-31_JMS,0.6951446137071752,134.7,15205.796724884558,14783.377014111948,15628.216435657168,Human Footprint
Sus scrofa,Avg_forest_cover_3km,GAM,11998.868882369898,0.8465,1.0040257625977367,Sus_scrofa_Avg_forest_cover_3km_GAM_2024-12-31_JMS,NA,NA,15250.59147528715,14832.530732179983,15668.652218394318,Forest Cover
Sus scrofa,Avg_forest_cover_3km,Linear,11685.38751189439,0.8235,1.0035725849105483,Sus_scrofa_Avg_forest_cover_3km_Linear_2024-12-31_JMS,0.9625229401548211,17.4,15223.226205715573,14805.279553790519,15641.172857640628,Forest Cover
Sus scrofa,Avg_forest_cover_3km,Quadratic,34549.25772056534,0.557875,0.9836131386339462,Sus_scrofa_Avg_forest_cover_3km_Quadratic_2024-12-31_JMS,0.9192403275808747,48.4,16165.877321078768,15702.084849067702,16629.669793089834,Forest Cover
Sus scrofa,Avg_forest_cover_3km,Cubic,9562.155809999842,0.454625,0.9933089969407908,Sus_scrofa_Avg_forest_cover_3km_Cubic_2024-12-31_JMS,0.9641496954714343,85.5,15596.479803475602,15043.008928221792,16149.950678729412,Forest Cover
Rusa unicolor,Avg_OP_percent_3km,GAM,2947.4580256600784,0.755125,1.026190074645283,Rusa_unicolor_Avg_OP_percent_3km_GAM_2024-12-31_JMS,NA,NA,9034.343920995676,8545.402125641576,9523.285716349776,Oil Palm
Rusa unicolor,Avg_OP_percent_3km,Linear,5358.167455158226,0.53125,1.00473939102842,Rusa_unicolor_Avg_OP_percent_3km_Linear_2024-12-31_JMS,0.995655696315441,3,8452.156876789984,7994.626295626518,8909.68745795345,Oil Palm
Rusa unicolor,Avg_OP_percent_3km,Quadratic,3509.3932005220213,0.58475,1.0103967179962916,Rusa_unicolor_Avg_OP_percent_3km_Quadratic_2024-12-31_JMS,0.9855301563605028,19.5,8547.286365609898,8072.457041551506,9022.11568966829,Oil Palm
Rusa unicolor,Avg_OP_percent_3km,Cubic,2912.6098569621286,0.635625,1.009844811103359,Rusa_unicolor_Avg_OP_percent_3km_Cubic_2024-12-31_JMS,0.9570820748038327,23.2,8488.236058742197,8029.980090749096,8946.492026735299,Oil Palm
Rusa unicolor,Avg_FLLI_3km,GAM,2949.9977348519615,0.524875,1.0024666330219572,Rusa_unicolor_Avg_FLLI_3km_GAM_2024-12-31_JMS,NA,NA,8658.255677433237,8195.38122971474,9121.130125151734,Forest Integrity
