Species,Covariate,Model_Type,nrmse_GAM,Bayes_P,C_Hat,LOOIC
Macaca nemestrina,Avg_human_footprint_3km,GAM,NA,0.5,1,29634.15
Macaca nemestrina,Avg_human_footprint_3km,Linear,19.7,0.45,1,29687.44
Macaca nemestrina,Avg_human_footprint_3km,Quadratic,13.2,0.45,1,29733.37
Macaca nemestrina,Avg_human_footprint_3km,Cubic,16.1,0.45,1,29760.7
