Species,Covariate,Model_Type,nrmse_GAM,Bayes_P,C_Hat,LOOIC
Sus scrofa,Avg_human_footprint_3km,GAM,NA,0.68,1.01,34797.11
Sus scrofa,Avg_human_footprint_3km,Linear,12.5,0.43,1,34740.05
Sus scrofa,Avg_human_footprint_3km,Quadratic,5.8,0.44,1,34782.49
Sus scrofa,Avg_human_footprint_3km,Cubic,12,0.34,0.98,38978.73
