Species,Covariate,Model_Type,nrmse_GAM,Bayes_P,C_Hat,LOOIC
Macaca nemestrina,Avg_OP_percent_3km,GAM,NA,0.5,1,29751.05
Macaca nemestrina,Avg_OP_percent_3km,Linear,1,0.44,1,29779
Macaca nemestrina,Avg_OP_percent_3km,Quadratic,13.5,0.44,1,29759.21
Macaca nemestrina,Avg_OP_percent_3km,Cubic,12.8,0.43,1,29734.83
