Species,Covariate,Model_Type,nrmse_GAM,Bayes_P,C_Hat,LOOIC
Macaca nemestrina,Avg_FLLI_3km,GAM,NA,0.51,1,29772.64
Macaca nemestrina,Avg_FLLI_3km,Linear,8,0.43,1,29651.82
Macaca nemestrina,Avg_FLLI_3km,Quadratic,10.8,0.35,0.98,31752.43
Macaca nemestrina,Avg_FLLI_3km,Cubic,9.7,0.33,0.98,33264.15
