Species,Covariate,Model_Type,nrmse_GAM,Bayes_P,C_Hat,LOOIC
Rusa unicolor,Avg_FLLI_3km,GAM,NA,0.3,0.97,9410.17
Rusa unicolor,Avg_FLLI_3km,Linear,31.3,0.62,1.02,9321.12
Rusa unicolor,Avg_FLLI_3km,Quadratic,9.8,0.63,1.02,9329.14
Rusa unicolor,Avg_FLLI_3km,Cubic,20.3,0.62,1.02,9339.52
