Species,Covariate,Model_Type,nrmse_GAM,Bayes_P,C_Hat,LOOIC
Muntiacus,Avg_FLLI_3km,GAM,NA,0.32,0.98,10320.93
Muntiacus,Avg_FLLI_3km,Linear,21.1,0.6,1.01,10299.12
Muntiacus,Avg_FLLI_3km,Quadratic,8.3,0.59,1.01,10291.1
Muntiacus,Avg_FLLI_3km,Cubic,1433029.8,0.32,0.95,12659.55
