Species,Covariate,Model_Type,nrmse_GAM,Bayes_P,C_Hat,LOOIC
Sus scrofa,Avg_human_footprint_3km,GAM,NA,0.81,1,15213.51
Sus scrofa,Avg_human_footprint_3km,Linear,23.7,0.66,0.93,20040.71
Sus scrofa,Avg_human_footprint_3km,Quadratic,136.1,0.86,1,15264.11
Sus scrofa,Avg_human_footprint_3km,Cubic,134.7,0.83,1,15205.8
