Species,Covariate,Model_Type,nrmse_GAM,Bayes_P,C_Hat,LOOIC
Sus scrofa,Avg_forest_cover_3km,GAM,NA,0.85,1,15250.59
Sus scrofa,Avg_forest_cover_3km,Linear,17.4,0.82,1,15223.23
Sus scrofa,Avg_forest_cover_3km,Quadratic,48.4,0.56,0.98,16165.88
Sus scrofa,Avg_forest_cover_3km,Cubic,85.5,0.45,0.99,15596.48
