Species,Covariate,Model_Type,nrmse_GAM,Bayes_P,C_Hat,LOOIC
Sus scrofa,Avg_FLLI_3km,GAM,NA,0.66,1,15291.96
Sus scrofa,Avg_FLLI_3km,Linear,36.2,0.75,1,16062.42
Sus scrofa,Avg_FLLI_3km,Quadratic,46.4,0.85,1,16046.89
Sus scrofa,Avg_FLLI_3km,Cubic,59.3,0.83,1,15267.08
